case,member,candidate,depth,M_kipft,V_kip,live_deflection_in,total_deflection_in,wood_sustained_screen_in,flexural_screen_ratio,shear_screen_ratio,passes_limited_screen
occupied40,E-rail,LVL 7 x 20,20,6.493880130920464,6.2410805805518486,0.003635922093739542,0.00833854163910038,0.011631118705911058,0.07649522131205942,0.23462708949443042,True
occupied40,S-header,LVL 7 x 20,20,3.377034634854485,1.5928697202940842,0.0002005295059223244,0.016638088851783667,0.02137950292237296,0.03978007086112745,0.05988232031180769,True
occupied40,N-header,LVL 7 x 20,20,5.917291954842575,2.872899183390873,0.009203503323323346,0.02747051956829518,0.037657444428836576,0.06970325114233242,0.108003728698905,True
occupied40,W-rail,LVL 7 x 20,20,0.2855617629887138,0.1973489015837458,0.0,0.0006467318629971952,0.0009700977944957928,0.00336379942618178,0.0074191316384866835,True
storage_bands,B1,W8x18,8.14,32.54202655019274,6.548737419712253,0.5603147557018664,1.4780591111565204,1.4780591111565204,0.858081857981398,,False
storage_bands,B2,W8x18,8.14,43.64787417059274,8.778826682115207,1.076360023853812,1.9887183820789067,1.9887183820789067,1.1509255241824718,,False
storage_bands,E-rail,W8x18,8.14,7.696943641105856,8.074581355287638,0.004692459812039404,0.008073339913578854,0.008073339913578854,0.20295625074705442,,True
storage_bands,S-header,W8x18,8.14,3.320140378006883,1.5059982540529817,0.0010304662536065156,0.0524537988572527,0.0524537988572527,0.08754685944112886,,True
storage_bands,N-header,W8x18,8.14,9.540586228060668,4.3400375012154875,0.08381582296930348,0.14199159901394184,0.14199159901394184,0.25157019475044184,,True
storage_bands,W-rail,W8x18,8.14,0.14153570956996364,0.0894264394955722,0.0,0.0005087427243083953,0.0005087427243083953,0.0037320731839237784,,True
storage_bands,B1,W8x24,7.93,32.87733459469951,6.6134219319042185,0.419389158137189,1.1177410004798638,1.1177410004798638,0.6304897466772997,,False
storage_bands,B2,W8x24,7.93,43.98321813670323,8.843511194310668,0.8056431133803018,1.4999635986672357,1.4999635986672357,0.8434676473296964,,False
