id,family,group,section,case,ratio,Nc,Nt,My,Mz,V,T,Pc,Pt,Mmajor,Mminor,Vc,Tc,Lb
M070,T-N:lower,T-N,HSS4x4x0.188,strength B2@0/8,0.6615712296167223,25.179407595615128,0.0,92032.92128938285,518.4437896802775,2566.4413542384345,9349.041221297286,99183.96549307411,116100.0,139950.0,139950.0,38699.424,77398.848,72
M071,T-N:upper,T-N,HSS3x3x0.188,strength B2@0/8,0.4358005898444484,6100.484307306062,0.0,5087.590528915732,11679.927134160087,4606.905827055798,11751.117586025646,63562.62978173031,85050.0,73800.0,73800.0,28547.424,42821.136,72
M072,T-N:upper,T-N,HSS3x3x0.188,strength B2@0/8,0.29230506782130994,0.0,9598.57342687574,9793.043474230091,3450.1496737993957,524.1100119783155,992.6380666208545,63562.62978173031,85050.0,73800.0,73800.0,28547.424,42821.136,72
M073,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.47375305719511845,7622.44740654166,0.0,7564.167408612815,895.7481514383823,144.09872836364747,472.56149091544285,24139.12856771865,58500.0,53550.0,53550.0,19406.25,29109.375,128.75
M074,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.41988601325354047,5786.3838330352255,0.0,4206.884002101342,5441.556317447505,127.17884145529001,306.159826897056,24139.12856771865,58500.0,53550.0,53550.0,19406.25,29109.375,128.75
M075,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.17345736495052935,2082.2517169626976,0.0,2171.822884026055,2497.572745459958,182.92009406033452,135.8188489454379,24139.12856771865,58500.0,53550.0,53550.0,19406.25,29109.375,128.75
M076,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.07982434921953217,0.0,1429.944449003032,1198.637313646618,1767.0074375873237,41.77986295888311,100.6312708767144,24139.12856771865,58500.0,53550.0,53550.0,19406.25,29109.375,128.75
M077,T-N:web,T-N,HSS3x3x0.125,strength B2@8/8,0.5234888022028713,5487.995245788896,0.0,3826.0587149561934,12032.253193296496,196.51441961825813,325.1558341982205,24139.12856771865,58500.0,53550.0,53550.0,19406.25,29109.375,128.75
M078,T-N:web,T-N,HSS3x3x0.125,strength T1@2/8,0.20519144804557377,3364.277100415456,0.0,1014.5873692204461,2510.1361952008715,40.213399000322674,327.717020467556,24139.12856771865,58500.0,53550.0,53550.0,19406.25,29109.375,128.75
M079,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.16844979613131472,376.59839369265376,0.0,3471.97491900099,5193.011062925766,416.7343775228288,727.2446735075581,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M080,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.4243500016795553,10770.77360445895,0.0,6171.481462027338,5690.118825185797,282.4461789856917,1919.5652287005819,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M081,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.324220527888761,0.0,2943.637926653043,9246.577322267796,5420.871074854492,433.24463414000184,434.5231926253985,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M082,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.30729514864717955,9438.763926696456,0.0,606.1636803917087,6330.483104497952,125.25644415864473,1400.6658938939502,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M083,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.21061691469456667,0.0,1211.834192171919,1564.9772724827117,8604.264133500115,692.1984421498024,1262.0997544924817,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
