member,end,joint,status,connected_to,gap_in,source_member
Wood joist 6-0,start,T1 future floor beam @ 0.457371225577,connected,T1 future floor beam,0.0,Wood joist 6-0
Wood joist 6-0,end,B2 future floor beam @ 0.457371225577,connected,B2 future floor beam; Wood joist 6-1,0.0,Wood joist 6-0
Wood joist 6-1,start,B2 future floor beam @ 0.457371225577,connected,B2 future floor beam; Wood joist 6-0,0.0,Wood joist 6-1
Wood joist 6-1,end,T-N @ 0.457371225577,connected,T-N,0.0,Wood joist 6-1
Wood joist 7-0,start,T1 future floor beam @ 0.514209591474,connected,T1 future floor beam,0.0,Wood joist 7-0
Wood joist 7-0,end,B2 future floor beam @ 0.514209591474,connected,B2 future floor beam; Wood joist 7-1,0.0,Wood joist 7-0
Wood joist 7-1,start,B2 future floor beam @ 0.514209591474,connected,B2 future floor beam; Wood joist 7-0,0.0,Wood joist 7-1
Wood joist 7-1,end,T-N @ 0.514209591474,connected,T-N,0.0,Wood joist 7-1
Wood joist 8-0,start,T1 future floor beam @ 0.571047957371,connected,T1 future floor beam,0.0,Wood joist 8-0
Wood joist 8-0,end,B2 future floor beam @ 0.571047957371,connected,B2 future floor beam; Wood joist 8-1,0.0,Wood joist 8-0
Wood joist 8-1,start,B2 future floor beam @ 0.571047957371,connected,B2 future floor beam; Wood joist 8-0,0.0,Wood joist 8-1
Wood joist 8-1,end,T-N @ 0.571047957371,connected,T-N,0.0,Wood joist 8-1
Wood joist 9-0,start,T1 future floor beam @ 0.627886323268,connected,T1 future floor beam,0.0,Wood joist 9-0
Wood joist 9-0,end,B2 future floor beam @ 0.627886323268,connected,B2 future floor beam; Wood joist 9-1,0.0,Wood joist 9-0
